###category: vlieglessen###
Zelf Vliegen;Vlieglessen;Emoeweg 1 8218 Lelystad;http://www.zelfvliegen.nl/;0320-785522
Aero Club Salland;Zweefvliegen;Langsweg 28 8152 EA Lemelerveld;http://aeroclubsalland.nl/;0572-371543
Atelier de Pleijsterplaats;Workshop Schilder uw Zelfportret,Workshop Karikatuur Schilderen,Workshop Schilderen in de Stijl van Tapies,Workshop Oriëntaalse Mystiek,Workshop Escher,Workshop Schilder uzelf als Geisha,Workshop Zonnig Zeegezicht,Workshop Vlieger Beschilderen,Workshop Servies Beschilderen,Workshop BlingBling Schilderen,Workshop Textiel Beschilderen,Workshop Klok beschilderen,Workshop Stenen Jeneverkruik Beschilderen,Workshop Venetiaanse Maskers,Workshop Beeldhouwen in Speksteen,GPS Puzzeltocht der Zintuigen,Van Gogh Puzzeltocht,Residentiewandeling,Workshop Kunst aan de Muur,Workshop Viva Espagna,Workshop Royal Tea,Golfclinic,Proefvliegles,Kinderfeestjes;Oude Molstraat 18 2513 BB Den Haag;http://www.schilderworkshops.nl/;070-3561998
Bernax race & flight simulators;Race simulatoren,Vlieg simulatoren;Fornheselaan 276 3734 GE Den Dolder;http://www.bernax.nl;030-6912220
Sand Air;Rondvluchten,Proeflessen vliegen;Rotterdam Airportplein 56 3045 AP Rotterdam;http://www.sandair.nl;010-4377877
Vliegwerk Zeeland;Rondvluchten,Proeflessen vliegen;Calandweg 30 4341 RA Arnemuiden;http://www.vliegwerkzeeland.nl;0113-613289
Prince Helicopters;Rondvluchten helikopter,Vliegangst cursus,Proefles helikopter vliegen;Gooikensweg 1 4301 PD Zierikzee;http://www.prince-helicopters.nl;0111-415703
Aero Eelde;Rondvlucht,Luchttaxi,Proefles vliegen;Machlaan 12 9761 TK Eelde;http://www.aeroeelde.nl;050-4062783
Aero Service Ameland;Rondvluchten,Vliegles,Parachute Springen,Taxivluchten,Verhuur vliegtuig / helikopter;G.Kosterweg 11 9162 EN Ballum;http://www.ameland-rondvluchten.nl;0519-554644
Kroonduif Air B.V.;Rondvlucht,Vliegles;Heathrowbaan 4 3045 AG Rotterdam;http://www.kroonduif-air.nl;010-4157855
Vliegexperience.nl;Vlieglessen,Rondvluchten;De Zanden 55 7395 PB Teuge;http://www.vliegexperience.nl/;
Airworks;Motorvliegen,Zweefvliegen,Ballonvaren,Parachutespringen,Helivliegen,Simulatievliegen,Zeppelinvaren;Ruisvoorn 5 4941 SB Raamsdonksveer;http://www.vliegtuigbon.nl/;0162571671
###category: speelparadijs###
123 Speelparadijs;Speelparadijs;Vijfkamplaan 6B 5624 EB Eindhoven;http://www.123speelparadijs.nl;040-2568257
Binnenpret / Golfpret;Binnen Speelparadijs,Buiten Speelparadijs,Adventuregolf;De Stegge 23 7137NC Lievelde;http://www.binnenpret.nl;0544-377932
Cowboy & Indianen Speelreservaat;Speelparadijs;Monierweg 2 7741 KT Coevorden;http://www.kinderspeelparadijscoevorden.nl/;0524-523003
De Spelerij / De Uitvinderij;Spelerij en Uitvinderij;Veldweg 5 6952 GX Dieren;http://www.spelerij.nl;0313-413118
Familiepark Nienoord;Bezoek Familiepark Nienoord - speelpark;Nienoord 10 9351 AC Leek;http://www.familieparknienoord.nl;0594-512230
Hullie Speelboerderij;Speelboerderij;Canadasweg 3A 5406 TS Uden;http://www.hullie.nl;0413-257534
Kabouterland;Speeltuin,Dierentuin;Zuiderhoofdstraat 11 7875 BW Exloo;http://www.kabouterland.nl;0591-549843
Kanoboerderij de Reusel;Kanoen,Speeltuin,Speelparadijs,Lasergamen,Plattelandsspelen,Oud-Hollandse spelen,Kleiduiven Schieten,Bezoek aan Bierbrouwerij,Steppen;Heizenschedijk 1 5066 PL Moergestel;http://www.kanoboerderij.nl/;013-5136031
Kidzcity utrecht;Indoor Speelparadijs;Vlampijpstraat 79 3534 AR Utrecht;http://www.kidzcity.nl;030-2420042
Kinderparadijs Malkenschoten;Kinderparadijs;Dubbelbeek 4 7333 NJ Apeldoorn;http://www.kinderparadijsmalkenschoten.nl/;055-5332803
Kinderspeelparadijs Piraateiland;Kinderspeelparadijs;Willem de Zwijgerlaan 2B 2316 GB Leiden;http://www.piraateiland.nl;071  5232235
Kinderstad Heerlen;Indoor Attractiepark;Paralelweg 4 6411 Heerlen;http://www.kinderstad.nl/;045-5717252
Linnaeushof;Speeltuin Linnaeushof;Rijksstraatweg 4 2121 AE Bennebroek;http://www.linaeushof.nl;023-5845362
Pretpark de Valkenier;Pretpark De Valkenier;Koningswinkelstraat 53 6301 WH Valkenburg;http://www.pretpark-de-valkenier.nl;043-6012289
Pretpark Hoge Boekel;Speelpark,Midgetgolf,Kegelbanen;Hoge Boekelerweg 410 7532 RE Enschede;http://www.hogeboekel.nl;(053) 46 11 378
Recreatiecentrum Drouwenerzand B.V.;Attractiepark Drouwenerzand;Gasselterstraat 7 9533 PC Drouwen;http://www.drouwenerzand.nl/;0599-564360
Speelpaleis Fakibolo;Overdekte speeltuin;Stokeind 11 5066 XA Moergestel;http://www.out2fun.nl/;013-5133451
Speelpark Klein Zwitserland;Speelpark Klein Zwitserland;Trappistenweg 35 5932 NB Tegelen;http://www.skz.nl;077 - 373 1565
Speelpark Oud Valkeveen;Speeltuin;Oud Huizerweg 2 1411 GZ Naarden;http://www.oudvalkeveen.nl;035-6944223
Speelstad Oranje;Speelstad Oranje;Oranje 8 9416 TC Oranje;http://www.youtube.com/watch?v=Jhubcw2GKk8;0592 - 458080
Speeltuin Miny World;Binnen speeltuin Miny World;Zuidzijde Haven 39 4611 HC Bergen op Zoom;http://www.minyworld.nl;0164-239840
Sybrandy's Ontspanningspark;Sybrandy's Ontspanningspark;Jan Schotanuswei 71 8567 HH Oudemirdum;http://www.sybrandys.nl;0514-571224
Vakantiepark/Speelparadijs De Bergen Wanroij;Attractiespeeltuin,Fietsverhuur;Zoetendaal 10 5446 PW Wanroij;http://www.debergen.nl;0485-335450
Wamelland Wamel;Overdekte speeltuin;Industriestraat 12 6659 AL Wamel;http://www.wamelland.nl;0487-501300
Apekooi;Apekooien;Bieskemaar 1 9735 AE Groningen;http://www.apekooi.nl;050-5496715
Bengeltjes Speeldorp;Overdekt speelparadijs;Esrein 21 Hengelo;http://www.bengeltjes.nl;074-2508913
Het Kinderkoninkrijk;Het Drakennest (spelen);Miggelenbergweg 56 7351 BP Hoenderloo;http://www.hetkinderkoninkrijk.nl;055–3781367
Chimpie Champ Aalsmeer;Speelparadijs,Speeltuin,Oosterhout - Speelparadijs,Oosterhout - Speeltuin;Oosteinderweg 247c 1432 AT Aalsmeer;http://www.chimpiechamp.nl/;0297-361223
Het Land van Jan Klaassen;Speelparadijs,Speeltuin,Buitenspeeltuin,Binnenspeeltuin,Poppentheater;Gildeweg 6 7047 AR Braamt;http://www.uitmetkorting.nl/land-van-jan-klaassen/korting-land-van-jan-klaassen/;0314-684777
Jut & Jul;Spookgrot,Spooktocht,Thema Animaties;Daalhemerweg 142 6300 AA Valkenburg;http://www.jutenjul.nl/;043-6016142
Kids Playground;Speelparadijs,Apeldoorn - Speelparadijs;Kleveringweg 35 2616 LZ Delft;http://www.kidsplayground.nl/;015-2190673
KidZcity;Speelparadijs;Vlampijpstraat 79 3534 AR Utrecht;http://www.kidzcity.nl;030-2420042
TunFun Speelpark;Overdekt Speelpark;Mr. Visserplein 7 1011 RD Amsterdam;http://www.youtube.com/watch?v=A316alm7k-I;020-6894300
Familiepretpark Koningin Juliana Toren;Familiepretpark Koningin Juliana Toren;Amersfoortseweg 35 7313 AC Apeldoorn;http://mrticket.cleafs.com/go?merc=533&aff=O7rIcnv0Tl5kFGS1&redirect=http%3A//www.mrticket.nl/aanbieders/Koningin_Juliana_Toren-96.html;055-3553265
Ballorig;Kinderspeelparadijs,Kinderspeelparadijs Amsterdam,Kinderspeelparadijs Amsterdam,Kinderspeelparadijs Assen,Kinderspeelparadijs Den Helder,Kinderspeelparadijs Emmen,Kinderspeelparadijs Hattem,Kinderspeelparadijs Heerenveen,Kinderspeelparadijs Heerhugowaard,Kinderspeelparadijs Zwaag,Kinderspeelparadijs Houten,Kinderspeelparadijs Lelystad,Kinderspeelparadijs Meppel,Kinderspeelparadijs Nieuw Bergen,Kinderspeelparadijs Oud-Beijerland,Kinderspeelparadijs Roosendaal,Kinderspeelparadijs Stadskanaal,Kinderspeelparadijs Venlo,Kinderspeelparadijs Wijhe,Kinderspeelparadijs Zaandam,Kinderspeelparadijs Zoetermeer,Kinderspeelparadijs Zutphen,Kinderspeelparadijs Bad Iburg,Seelze - Hannover - Kinderspeelparadijs Seelze Hannover,Kinderspeelparadijs Sulingen,Kinderspeelparadijs Uelzen - Königsberg;Scoutingpad 1 1351 GN Almere-Haven;http://www.ballorig.nl/;036-5386665
Landgoed Schovenhorst;Rondleiding Van Woeste grond tot Wereldbomen,Rondleiding De Smaak van Schovenhorst,Rondleiding Schovenhorst Historisch bekeken,Bostoren beklimmen,Speelbos,Kinderfotospeurtocht,Bezoek natuur en cultuurcentrum Schovenhorst;Garderenseweg 93 3881 GK Putten;http://www.schovenhorst.nl;0341-351207
De Afslag;Binnenspeeltuin,Grote buitenspeeltuin,Midgetgolf,LGB Treinentuin;Kieweg 2 4511 RP Breskens;http://www.deafslag.nl;0117-380230
Kinderpretland;Speelparadijs;Geurtsvenweg 2a 6006SN Weert;http://www.kinderpretland.nl;0495-549118
Sandton Resort Bad Boekelo;Tennis,Zwembad,Wellness,Bowlen,Kinderspeelparadijs,Fietsen Huren,Sauna;Oude Deldenerweg 203 7548 PM Boekelo;http://www.resortbadboekelo.nl;053-4283005
Alpincenter;Skihal,Hochseilklimmen,Rodelbaan,Surfbad The Wave,Indoor Skidiving,Wittenburg - Indoor Skihal,Wittenburg - Karten,Wittenburg - Quad & Offroad,Wittenburg - Quad Safari,Wittenburg - Waterski- en wakeboardmeer,Wittenburg - Hochseilgarten,Wittenburg - Avonturenspeelplaats,Wittenburg - Beachvolleybal;Prosperstraße 299 – 301 46238 Bottrop;http://www.alpincenter.com/;0049-2041-7095–0
Boudewijn Seapark;Boudewijn Seapark,Boudewijn IJspiste;A. De Baeckestraat  12 8200 Brugge;http://www.youtube.com/watch?v=fCWhiFOxDxk;003250-383838
Mini-Europe;Mini-Europe;Bruparck B-1020 Brussel;http://www.minieurope.eu;02-474131
Kids Castle;Indoor speelparadijs Kids Castle;Veldweg 22 5321JE Hedel;http://www.kids-castle.nl;073-5995750
Monkey Donky Speelhuis;Speelparadijs;Oosterhamrikkade 66a 9714 BG Groningen;http://www.monkeydonky.nl/;050-5791072
Recreatiecentrum De Sanjes;Speelpark Sanjesfertier,Amusementspark Sanjesplezier,Cirkelbalspel,Kaasspel,Paardenrenbaan,Draailadderspel,Rodeostier,Airhockey,Vier op een rij,Kussengevecht,Blue ball,Poolbiljart,Voetbalspel,Tafeltennis,Sjoelbak,Hobbelfietsen,Jeu de Boules,Tafeltennis;Bovenweg 14 9271 VH Zwaagwesteinde;http://www.sanjesfertier.nl/;0511-477390
Speelland Beekse Bergen;Speelland Beekse Bergen;Beekse Bergen 1 5081 NJ Hilvarenbeek;http://www.youtube.com/watch?v=6ZU81mkE4js;0900-2335732
De Uithof;IJsbaan en IJshal,Sneeuwbaan,Kartbaan,Klimmuur,Kids World;Jaap Edenweg 10 2544 NL Den Haag;http://www.deuithof.nl/;0900-33848463
Familiepretaprk Mindi Mundi;Familiepretaprk Mindi Mundi;Podium 35 4337 WV Middelburg;http://www.minimundi.nl/;0118-415400
MiniPort Nederland;Minihaven de Schatberg,Brunssum - Minihaven Schutterspark;Midden Peelweg 5 5975 MZ Sevenum;http://www.miniport.nl/;0475-350251
Piratenland;Speelparadijs Piratenland;Kleine Schelluinsekade 3 4204 TZ Gorinchem;http://www.piratenland.com/;0183-625065
Recreatiepark Steinerbos;Speelbos,Zwembad Steinerbos;Dieterenstraat 19 6171 JK Stein;http://www.steinerbos.nl;046-4268000
Molecaten Park Bosbad Hoeven;Waterpark Splesj,Grote buitenspeeltuin,Roeivijver met roeiboten,Visvijver,Tennisbaan,Basketbalveld,Tafeltennis,Jeu de boules,Binnenspeeltuin Bubbels,Aquatico Lifestyle Centre,Amusementshal,Fiets- Skelter- en Stepverhuur;Oude Antwerpsepostbaan 81b 4741 SG Hoeven;http://www.molecaten.nl;0165-502570
Beerze Bulten;Spa, Wellness & Fun,Giga Konijnenhol - kinderfeestjes-schoolreisjes-theatershows,Zwemparadijs;Kampweg 1 7736 PK Beerze;http://www.beerzebulten.nl;0523-251398
Jachthaven Recreatiepark De Scherpenhof;Play City - overdekte speeltuin,Bowlen;Bandijk 60 7396 NC Terwolde;http://www.scherpenhof.nl;0571-291731
Groepsaccommodatie De Boerschop;Paardrijden - ook voor gehandicapten,Muziek en Zangavond,Huifkartocht evt. met picknick,Klootschieten evt. onder deskundige begeleiding,Wandeltochten,Fietstochten,Oud Hollandse Spelen,Bello-treintje,Basketbalveld,Volleybalveld,Jeu de boules,Tafeltennis,Speelweide,Boerengolf;Butzelaarstraat 70 8105 AR Luttenberg;http://www.deboerschop.nl;0572-301464
Kinderspeelparadijs Dolle Pret;Overdekt speelparadijs;Noordbroek 2 7604 BL Almelo;http://www.dollepret.nl;0546-633399
Speelpaleis Trollenland;Overdekte speeltuin;Jacob Marisstraat 6a 5753 DB Deurne;http://www.trollenland.nl;0493-315601
Speelboerderij De Hooiberg;Binnen- en buitenspelen;Bredasebaan 23 5531NB Bladel;http://www.speelboerderij.nl;0497-380592
Kinderfeesterij Plezier Eiland;Speelparadijs;Benatzkystraat 4 5011 Tilburg;http://www.pleziereiland.nl;013-4552258
Darling Market;Overdekte speeltuin en grande bazaar;Volmerlaan 12 2288 GD Rijswijk ZH;http://www.grandebazaar.nl;070-3030087
DippieDoe Familiepark Best;Binnen en buiten speelpark;Ekkersweijer  1 5681 RZ Best;http://telegraaftickets.cleafs.com/go?k=O7rIcnv0Tl5kFGS11SCv5UxBZuioQwXI;0499-330204
DippieDoe Kinderspeelland Cuijk;Klimavontuur & Softplaycorner,Botsauto's,Draaimolen,Dropzone,Splash;Korte Beijerd 2–4 5431 NP Cuijk;http://www.youtube.com/watch?v=Ovrpk4BoGjM&feature=player_embedded;0485-318678
Avonturenland B.V.;Binnen- en buitenspeeltuin,The Captains Laser Challenge,Pannekoekenrestaurant Pancakes & Fun;Geerke 2 5235 HH Den Bosch;http://www.avonturenland.nl;073-6430144
Kinderspeeldorp Pee Wee;Indoor & Outdoor speelparadijs en kinderboerderij;Heinsbergerweg 65 6061 Posterholt;http://www.peeweeposterholt.nl;0475-404433
Camping Recreatiecentrum Lauwersoog;Zeilen,Surfen,Motorvletje huren,Fietsroutes,Wandelroutes,Indoor en outdoor speeltuin,Kano huren,Wad excursie onder leiding van een gids,Educatieve middag voor kinderen,Boswandeling met de boswachter,Rondvaarten met antieke zeil- en motorschepen,GPS-tochten,Hand- en kruisboogschieten,Kinderfeestjes,Kitesurfen,Klimmen,Midgetgolfen,Nordic Walking,Oud Hollandse spelen,Paardrijden,Survival en zwerftochten,Tennissen,Tokkelen,Vlotten bouwen,Hiking,Waterfietsen,Waterskiën,Zeskamp;Strandweg 5 9976VS Lauwersoog;http://www.lauwersoog.nl;0519-349133
Flippies Pretpaleis;Indoor speelparadijs;Duerswaldmer Wei 11 9243 KA Bakkeveen;http://www.thout.nl/nl/flippiespretpaleis/;0516-541287
Jonas en de Walvis;Indoor speelparadijs & Waterspeeltuin;Solcamastraat 30 9262 ND Suameer;http://www.jonasendewalvis.nl;0511-461385
Pagedal;Zwembad,Tennis en squash,Fitness & Wellness,Zand- & Waterspeelplaats - speeltuin,Djembé,Sieraden maken,Buks-boogschieten,Duiken,Segway rijden,Bamboe bouwen,Mountainbiken,Wijnproeven,GPS De Moordzaak,GPS Denken, durven, doen!,Team Challenge,Frisbee Challenge,Bugxterrijden,Outdoor Lasergame,Lasergame by night,Jogo Contrabando,Levend stratego,Kindersurvival,Kratklimmen + boogschieten,Schoolsurvival,Bedrijfssurvival,Familiesurvival,Verenigingssurvival,[YOUR] Challenge,[YOUR] Fun,[YOUR] Expedition;Hoveniersweg 1 9502 BW Stadskanaal;http://www.pagedal.nl;0599-611000
Speelcircus Bambini;Binnenspeeltuin Bambini;Baskensburgplein 2 4383 NE Vlissingen;http://www.youtube.com/watch?v=iFKDOofrtSw;0118-415400
Toversluis;Game Kingdom,SpeelDeel,Bowlen,Funtastic Casino,Kamelenrace;Nieuwstraat 83a 4524 EG Sluis;http://www.toversluis.nl;0117-461111
Camping Valkenisse;Avonturenpark - overdekte speeltuin;Valkenisseweg 64 4373RR Biggekerke;http://www.campingvalkenisse.nl;0118-561314
Café Restaurant Uitspanning Oranjezon;Speeltuin & Dierenweide;Kon. Emmaweg 26 4354 KE Vrouwenpolder;http://www.uitspanningoranjezon.nl;0118-594735
Five Star Farm;Overdekte speeltuin,Huifkartochten,Wandeltochten,Bezoek de boerderij;Baas Huisweg 11 4493 NE Kamperland;http://www.fivestarfarm.nl;0113-371972
Eeterij-spelerij Vierlinden;Binnenspeeltuin,Midgetgolf;Kattendijksedijk 19 4463 AL Goes;http://www.vierlindengoes.nl;0113-211865
't Klok'Uus;Speelboerderij binnen/buiten,Boerengolf;Wissekerkseweg 6 4458 SH 's-Heer Arendskerke;http://www.klokuus.nl;0113-561306
"Indoor-speeltuin ""Zwierelantijn""";Indoor speelparadijs;Zuiverseweg 2 4363 RJ Aagtekerke;http://www.zwierelantijn.nl;0118-581809
De Hofstede;Buiten speeltuin,Binnen- en buitenzwembad,Bowlen,Minigolf,Kinderhut;Kieftveen 18 3781 PP Voorthuizen;http://www.deijsvogel.com;0342-472776
Natuurinformatiepunt/Trampolinecentrum Westerschouwen;Gezinsskelter-Familiefiets-Trapfiets-Piet Plezier-Truusje Trap,Trampolinespringen;Steenweg 13a 4328 RL Burgh-Haamstede;http://www.jantrampoline.nl;0111-652721
Recreatiepark 't Lapje;Tennis,Midgetgolf,Voetbalspel,Trampolines,Fiets- skelterverhuur,Ût Knienol - indoor speelparadijs;J.J. Boeijesweg 50 4328 Burgh-Haamstede;http://www.recreatieparktlapje.nl;0111-652766
Speeltuin De Flipjes;Speeltuin;Pr. Hendrikweg 36 3253 BV Ouddorp;http://www.speeltuindeflipjes.nl;0187-681816
Expo Haringvliet Restaurant;Kinderboerderij,Speeltuin,Expositie Deltawerken /Excursies/Evenementen;Haringvlietplein 3 3251 LD Stellendam;http://www.expoharingvliet.nl;0187-499913
Piet van Marion's Geuzenpaleis;Kinderspeelparadijs;Buitengronden 3 3238 LZ Brielle;http://www.pvm.nl;0181-663060
Vakantiepark De Wiltzangh;Fietsen Huren,Tandem Huren,Jeu de Boules,Miniscooterbaan,Kinderboerderij,Volleyballen,Voetbalveld,Fietsroutes,Tafeltennis,Huifkartochten,Bolderwagens Huren,Minigolf,Speeltuin,Wandelroutes,Zwembad;Witteveen 2 7963 RB Ruinen;http://www.dewiltzangh-ruinen.nl/;0522-471227
Parc Centrum Sandur;Bowlen,Kinderspeelparadijs,Paintball,Boerengolf,GPS Tours,Handboog schieten,Paardrijden,Kinderfeestjes - Bowlingpartijtje,Kinderfeestjes - Midgetgolf games,Kinderfeestjes - Zwempartijtje,Kinderfeestjes - Poffertjespartijtje,Kinderfeestjes - Balsportfeestje,Kinderfeestjes - Streetdancepartijtje,Kinderfeestjes - Snorkelpartijtje,Kinderfeestjes - Klimpartijtje,Zwemmen,Baanverhuur: unihockey, basketbal, handbal, volleybal, badminton of frisbeeën,Beachvolleybal,Midgetgolf,Fietsen & Skelters,Skeeleren,Kanoën,Fluisterboot huren,Zeilboot huren,Waterfietsen,Nordic Walking,GPS tochten;Sandurdreef 5 7828 AA Emmen;http://www.sandur.nl;0591-667474
Speel- en IJsboerderij De Drentse Koe;Speel- en IJsboerderij De Drentse Koe,Maïsdoolhof,Boerenbiljart,Familiefiets huren;Wolddijk 23 7961 NA Ruinerwold;http://www.drentse-koeijs.nl;0522-481274
Zippa Zebra's Funjugle;Speelparadijs,Kinderfeestje;Groenewegenstraat 17-1 7901 ED Hoogeveen;http://www.zippazebra.nl;0528-261888
De Voorst - Restaurant Partycentrum;Speel- en doepark,Midgetgolfbaan,Klootschieten,Foto speurtocht,Spooktocht,Jeu de boules,Klompjesgolf,Steppen in het Voorsterbos,Boswandelingen,Hand- en kruisboogschieten,GPS speurtocht,Rondvaart richting Vollenhove;Leemringweg 29 8317 RD Kraggenburg;http://www.devoorst.nl;0527-252483
Kidz Village;Kinderspeelparadijs,Sneeuwhal / Snowfun,Skiën,Bumperbowlen,Overdekt Zwembad;Spijkweg 15 8256 RJ Biddinghuizen;http://www.kidzvillage.nl;0321-330441
Speeltuin Spijkerdorp;Speeltuin - hutten bouwen - dierenweide;Tjaarda 444 9202 LA Drachten;http://www.spijkerdorp.nl;0512-522488
De Speelboerderij;Overdekt speelparadijs;Camminghastraat 16 9162 EM Ballum;http://www.speelboerderijameland.nl;0519-554214
Monkey Town Amersfoort;Overdekt speelparadijs;Amsterdamseweg 45-47 3812 RP Amersfoort;http://www.ftpis.fr/Amersfoort/;033-4951831
Monkey Town Bussum;Overdekt speelparadijs;Zanderijweg 10-12 1403 XV Bussum;http://www.ftpis.fr/Bussum/;035-6920233
Monkey Town Leeuwarden;Overdekt speelparadijs;Snekertrekweg 39 8912 AA Leeuwarden;http://www.ftpis.fr/Leeuwarden/;058-2120315
Monkey Town Uitgeest;Overdekt speelparadijs;Molenwerf 20 1911 DB Uitgeest;http://www.ftpis.fr/Uitgeest/;0251-316803
Monkey Town Dortmund;Overdekt speelparadijs;Burgweg 16-22 44145 Dortmund;http://www.ftpis.fr/Dortmund/;+49231-8644555
Aeolus - centrum voor vermaak en educatie;Overdekt speelparadijs;Hearewei 24a 8855 AZ Sexbierum;http://www.aeolusfriesland.nl/;0517-591144
Allez4kidz;Overdekt speelparadijs;Zomerweg 28 6996 DE Drempt;http://www.allez4kidz.nl;0313-472461
Grote Keizer;Bowlen,Speelhal,Overdekt kinderspeelparadijs;Kalverdijkje 76A 8924 JJ Leeuwarden;http://www.grotekeizer.nl;058-2667171
Boerderij Pret;Indoor speeltuin;Telgterbuurtweg 32 3853 PE Ermelo;http://www.boerderijpret.nl;0341-361989
Klauterland;Indoor klauterparadijs;Koelenhofstraat 7 4004 JR Tiel;http://www.klauterland.nl;0344-640000
Speeltuin Elckerlyc;Speeltuin;Anna van Schuurmanstraat 604 5344 TX Oss;http://www.speeltuinelckerlyc.nl;0412-652151
Party & Bowlingcentrum Schin op Geul;Bowlen,Indoor Speeltuin;Walem 7 6342 PA Walem;http://www.bowlingschinopgeul.nl;043-4593436
Recreatiepark -Brasserie Het Genieten;Buiten speeltuin,Indoor speeltuin,Kinderboerderij,Jeu de boules-baan,Midgetgolfbaan,Feestlocatie / Groepsarrangementen,Kinderfeestje;Roestelbergseweg 3 5171 RL Kaatsheuvel;http://www.hetgenieten.nl;0416-561575
De Schatkids;Kinderspeelparadijs,Kinderfeestje;Galileistraat 3 3902 HR Veenendaal;http://www.deschatkids.nl;0318-501060
Partyboerderij, Indoor Speelparadijs & Camping;Indoor Speelparadijs,Midgetgolf,Groepsarrangementen & Feestlocatie,Kanoen,Fietsen;Pastorieweg 14 9943 TG Nieuw Scheemda;http://www.deleeuwenborg.nl/;0598-446464
De Ballon;Overdekte speeltuin;Bandertlaan 13 6101 LZ Echt;http://www.de-ballon.nl;0475-410845
Plopsa Indoor Hasselt;Plopsa Indoor Hasselt;Gouverneur Verwilghensingel 70 3500 Hasselt;http://www.youtube.com/watch?v=lW7BsU8ABRk;011-293040
Plopsa Indoor Coevorden;Bezoek Plopsa Indoor Coevorden;Reindersdijk 57 7751 SH Dalen;http://dagtickets.cleafs.com/go?label=out2fun_ad_plopsaindoorcoevorden&k=O7rIcnv0Tl5kFGS1ysqBc6Fl941enU7J;+32058420202
Speelpark de Swaan;Speelpark;Wagenweg 2 1724 PT Oudkarspel;http://www.speelparkdeswaan.nl/sp/;0226-312079
###category: paintballen###
All in Echt;Karten,Bowlen,Paintballen,Cocktails Shaken,Spelen met vuur,Boogschieten,Sumo Worstelen,Kratstapelen,Schermen,Boeren Spelen;Bandertlaan 9 6101 NL Echt;http://www.allinecht.nl/;0475-418900
Axitraxi;Attractieverhuur,Zeskamp,Achtkamp,Tienkamp,Romeins Spektakel,GPS Wandeltocht,GPS Fietstocht,GPS Steptocht,GPS Mountainbiketocht,Paintballen;Bolder 18 6582 BZ Malden;http://www.axitraxi.nl;024-3582885
Cafefiets De Roodrunner;Beachgolf,Boerengolf,Bowlen,Karten,Midgetgolf,Paintball,Survival,Bierfiets;Nieuwehovendijk 2 4504 RB Nieuwvliet;http://www.cafefiets.nl/;0117-376282
Coo Bike;Mountainbiking,Kayakken,Rafting,Paintballen,Quad Rijden,Bugxter,4x4 Jeep Rijden,Car Control,Karten,Street Turtle,Dropping,Helicopter Dropping,Shooting,Paardrijden,Challenge Parcours,Klimmen,Abseilen,Skien,Snowboarden,Speleologie;Petit Coo 4 B-4970 Stavelot;http://www.coobike.be/;+3280689133
